Designator,Mid X,Mid Y,Layer,Rotation
C1,40.3572,27.7,T,0
C2,8.2,27.6,T,180
C3,12.8,25.8,T,270
C4,40.3572,25.7,T,0
C5,8.2,25.6,T,180
C6,37.5,24.5,T,180
C7,40.3572,21.7,T,0
C8,8.2,21.6,T,180
C9,40.3572,19.7,T,0
C10,8.2,19.6,T,180
C11,13.1,17,T,90
C12,34.9,17,T,90
C13,5.8,8.3,T,270
C14,14.9,7.3,T,90
C15,16.4,7.3,T,90
D1,13.1,12.2,T,270
D2,34.9,12.2,T,270
D3,2.8,6.6,T,270
D4,43.6,6.6,T,270
D5,16.4,2.8,T,270
F1,2.8,33.8,T,90
F2,43.6,33.8,T,90
F3,2.8,13.2,T,270
F4,43.6,13.2,T,270
J1,23.3,29.2,T,270
J2,25.84,29.2,T,270
J3,8.8,16.8,T,270
J4,38.5,16.8,T,270
R1,11.8,14.7,T,90
R2,13.1,14.7,T,270
R3,34.9,14.7,T,270
R4,36.2,14.7,T,90
R5,14.9,3.3,T,270
TP1,2.8,1.9,T,0
TP2,5.8,1.9,T,0
U1,14.9,33.8,T,180
U2,34.5,33.8,T,180
U3,45.3,23.7,T,90
U4,3.9,23.6,T,270
U5,34.5,21.7,T,90
U6,13.1,21.6,T,270
U7,10.3,5.4,T,180
